,GAME_ID,DATE,TEAM_ABBREVIATION,WINS,LOSSES,PTS,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,LOC
0,6390,2019-10-23,TOR,1,0,130,27,29,32,29,40.8,84.2,35.0,23,57,16,1
1,6390,2019-10-23,NOP,0,1,122,30,31,25,31,42.2,85.0,42.2,30,53,19,0
2,6391,2019-10-23,LAC,1,0,112,22,40,23,27,51.9,70.8,35.5,24,45,14,1
3,6391,2019-10-23,LAL,0,1,102,25,29,31,17,43.5,71.4,39.4,20,41,14,0
4,6392,2019-10-23,CHA,1,0,126,37,26,33,30,51.1,81.2,52.3,28,41,19,1
5,6392,2019-10-23,CHI,0,1,125,28,27,40,30,46.7,81.8,30.0,25,49,10,0
6,6393,2019-10-23,IND,0,1,110,24,31,31,24,46.1,83.3,38.1,26,36,15,1
7,6393,2019-10-23,DET,1,0,119,27,27,29,36,52.6,78.8,45.8,26,45,18,0
8,6394,2019-10-23,ORL,1,0,94,28,27,16,23,43.0,57.9,30.0,24,46,13,1
9,6394,2019-10-23,CLE,0,1,85,24,17,24,20,37.5,66.7,26.5,20,54,16,0
10,6395,2019-10-23,BKN,0,1,126,22,34,37,22,47.5,57.7,44.1,19,48,16,1
11,6395,2019-10-23,MIN,1,0,127,33,35,20,27,42.6,78.6,30.2,23,52,13,0
12,6396,2019-10-23,MIA,1,0,120,24,30,29,37,47.1,84.6,38.9,18,51,21,1
13,6396,2019-10-23,MEM,0,1,101,32,28,24,17,42.7,66.7,15.6,22,40,24,0
14,6397,2019-10-23,PHI,1,0,107,20,29,28,30,43.5,72.2,24.1,24,62,15,1
15,6397,2019-10-23,BOS,0,1,93,25,23,20,25,36.7,58.8,26.9,18,41,10,0
16,6398,2019-10-24,DAL,1,0,108,24,38,29,17,46.1,81.8,30.6,17,46,19,1
17,6398,2019-10-24,WAS,0,1,100,25,23,20,32,39.8,83.3,26.8,26,47,17,0
18,6399,2019-10-24,SAS,1,0,120,22,37,24,37,50.6,80.6,33.3,22,51,21,1
19,6399,2019-10-24,NYK,0,1,111,15,36,33,27,46.8,72.2,33.3,24,39,14,0
20,6400,2019-10-24,UTA,1,0,100,23,26,19,32,44.4,70.0,25.0,15,49,11,1
21,6400,2019-10-24,OKC,0,1,95,12,34,28,21,38.6,67.7,37.0,15,48,13,0
22,6401,2019-10-24,PHX,1,0,124,25,29,32,38,50.0,83.3,33.3,31,44,14,1
23,6401,2019-10-24,SAC,0,1,95,29,30,17,19,39.1,65.4,34.5,17,47,26,0
24,6402,2019-10-24,POR,0,1,100,27,23,24,26,41.4,91.3,25.0,13,48,20,1
25,6402,2019-10-24,DEN,1,0,108,24,30,19,35,42.0,81.5,56.2,24,45,19,0
26,6403,2019-10-24,DET,1,1,100,32,31,18,19,41.2,90.9,27.0,20,39,13,1
27,6403,2019-10-24,ATL,1,0,117,38,22,31,26,51.2,85.7,35.5,27,42,13,0
28,6404,2019-10-25,HOU,0,1,111,30,36,21,24,36.7,74.4,33.3,25,57,14,1
29,6404,2019-10-25,MIL,1,0,117,23,27,28,39,46.5,50.0,34.8,31,53,11,0
30,6405,2019-10-25,GSW,0,1,122,29,25,33,35,39.4,96.7,35.7,27,42,13,1
31,6405,2019-10-25,LAC,2,0,141,35,30,46,30,62.5,76.7,56.2,33,39,17,0
32,6406,2019-10-25,BOS,1,1,112,22,28,26,36,38.5,93.8,34.2,21,56,9,1
33,6406,2019-10-25,TOR,1,1,106,21,28,33,24,47.4,82.4,50.0,22,46,23,0
34,6407,2019-10-25,CHA,1,1,99,32,24,25,18,44.0,50.0,41.4,26,42,19,1
35,6407,2019-10-25,MIN,2,0,121,30,28,45,18,47.3,74.2,31.6,30,52,15,0
36,6408,2019-10-25,BKN,1,1,113,32,32,30,19,47.4,67.6,43.2,21,46,26,1
37,6408,2019-10-25,NYK,0,2,109,23,28,32,26,46.9,57.1,68.0,17,39,26,0
38,6409,2019-10-26,MEM,0,2,102,29,31,21,21,41.5,70.0,34.5,24,56,18,1
39,6409,2019-10-26,CHI,1,1,110,25,22,32,31,43.0,75.0,28.6,18,45,13,0
40,6410,2019-10-26,NOP,0,2,116,41,23,29,23,45.9,73.3,36.6,30,48,14,1
41,6410,2019-10-26,DAL,2,0,123,27,45,23,28,48.4,73.1,35.0,23,49,11,0
42,6411,2019-10-26,OKC,0,2,85,24,22,24,15,39.8,63.6,21.7,14,49,18,1
43,6411,2019-10-26,WAS,1,1,97,28,24,26,19,40.2,80.0,26.8,21,47,15,0
44,6412,2019-10-26,DEN,2,0,108,15,24,25,31,39.1,80.6,25.9,21,45,14,1
45,6412,2019-10-26,PHX,1,1,107,21,24,17,33,39.5,96.9,28.6,25,54,17,0
46,6413,2019-10-26,SAC,0,2,112,27,30,27,28,42.5,85.2,40.5,17,43,17,1
47,6413,2019-10-26,POR,1,1,122,25,32,37,28,54.1,86.4,36.7,23,40,16,0
48,6414,2019-10-26,LAL,1,1,95,24,19,31,21,39.5,79.2,30.8,19,42,14,1
49,6414,2019-10-26,UTA,1,1,86,17,20,18,31,41.4,95.2,32.0,19,40,22,0
50,6415,2019-10-26,MIL,1,1,126,33,37,23,28,43.6,77.1,31.5,22,47,18,1
51,6415,2019-10-26,MIA,2,0,131,29,24,29,39,45.5,63.9,36.4,33,54,16,0
52,6416,2019-10-26,DET,1,2,111,29,28,26,28,53.9,58.3,42.1,20,35,23,1
53,6416,2019-10-26,PHI,2,0,117,28,26,29,34,48.3,66.7,38.2,30,38,22,0
54,6417,2019-10-26,ATL,2,0,103,23,29,25,26,51.2,53.3,30.0,22,52,18,1
55,6417,2019-10-26,ORL,1,1,99,26,24,25,24,35.4,92.3,16.1,15,46,10,0
56,6418,2019-10-26,NYK,0,3,95,24,27,25,19,38.8,76.5,25.9,15,55,25,1
57,6418,2019-10-26,BOS,2,1,118,22,24,36,36,45.2,65.5,36.6,24,45,12,0
58,6419,2019-10-27,CLE,1,1,110,26,39,25,20,50.0,65.5,35.5,23,44,18,1
59,6419,2019-10-27,IND,0,2,99,28,20,26,25,44.8,84.6,35.7,23,36,17,0
60,6420,2019-10-27,CHI,1,2,84,23,17,22,22,29.9,68.0,25.7,18,45,15,1
61,6420,2019-10-27,TOR,2,1,108,24,24,36,24,46.3,94.4,35.7,27,59,22,0
62,6421,2019-10-27,HOU,1,1,126,29,32,36,29,45.7,90.0,28.9,27,45,19,1
63,6421,2019-10-27,NOP,0,3,123,24,37,39,23,46.0,81.2,36.0,27,42,17,0
64,6422,2019-10-27,SAS,2,0,124,30,30,32,32,46.3,82.4,35.7,29,53,9,1
65,6422,2019-10-27,WAS,1,2,122,26,34,30,32,49.5,70.6,47.1,30,41,12,0
66,6423,2019-10-27,UTA,2,1,113,35,31,27,20,56.4,58.3,48.6,28,43,21,1
67,6423,2019-10-27,SAC,0,3,81,25,16,17,23,37.0,82.4,26.9,16,31,17,0
68,6424,2019-10-27,PHX,2,1,130,26,29,36,39,50.0,79.4,39.5,32,49,16,1
69,6424,2019-10-27,LAC,2,1,122,22,33,30,37,46.0,79.5,34.4,20,41,12,0
70,6425,2019-10-27,OKC,1,2,120,35,35,35,15,56.4,77.3,46.9,24,50,23,1
71,6425,2019-10-27,GSW,0,2,92,20,17,31,24,32.6,87.1,15.2,17,39,14,0
72,6426,2019-10-27,MEM,1,2,134,35,24,33,28,48.5,80.0,42.4,33,49,12,1
73,6426,2019-10-27,BKN,1,2,133,29,28,40,23,43.6,81.1,33.3,28,53,17,0
74,6427,2019-10-27,DAL,2,1,119,40,31,24,24,39.4,78.0,26.0,27,46,11,1
75,6427,2019-10-27,POR,2,1,121,25,34,36,26,51.7,84.6,40.9,13,48,16,0
76,6428,2019-10-27,MIN,3,0,116,36,19,22,39,42.9,75.8,28.9,24,46,16,1
77,6428,2019-10-27,MIA,2,1,109,23,34,27,25,49.4,66.7,41.7,25,41,21,0
78,6429,2019-10-28,LAL,2,1,120,30,33,24,33,52.7,78.6,35.5,30,47,13,1
79,6429,2019-10-28,CHA,1,2,101,28,34,18,21,38.5,91.3,28.6,19,45,14,0
80,6430,2019-10-28,DET,2,2,96,33,26,19,18,45.7,90.0,54.2,21,48,20,1
81,6430,2019-10-28,IND,0,3,94,25,28,18,23,41.5,76.9,28.6,24,45,7,0
82,6431,2019-10-28,NYK,1,3,105,15,27,30,33,41.8,62.5,31.0,19,63,17,1
83,6431,2019-10-28,CHI,1,3,98,33,19,28,18,42.4,81.0,25.7,19,38,9,0
84,6432,2019-10-28,ATL,2,1,103,40,25,18,20,42.9,68.8,33.3,23,45,21,1
85,6432,2019-10-28,PHI,3,0,105,31,32,19,23,42.0,80.0,26.8,22,49,21,0
86,6433,2019-10-28,TOR,3,1,104,31,20,27,26,38.8,93.3,25.6,19,52,16,1
87,6433,2019-10-28,ORL,1,2,95,22,24,21,28,38.2,83.3,30.8,22,47,16,0
88,6434,2019-10-29,HOU,2,1,116,22,30,39,25,43.3,84.8,22.7,21,40,14,1
89,6435,2019-10-29,MIL,2,1,129,30,29,32,38,52.2,66.7,44.7,29,50,12,1
90,6435,2019-10-29,CLE,1,2,112,31,21,28,32,45.0,83.3,30.8,19,48,11,0
91,6436,2019-10-29,NOP,0,4,123,23,32,24,44,46.6,54.5,31.9,36,41,15,1
92,6436,2019-10-29,GSW,1,2,134,27,45,31,31,49.0,75.0,40.0,37,61,18,0
93,6437,2019-10-29,SAS,3,0,113,19,26,37,31,48.2,75.0,31.8,25,50,18,1
94,6437,2019-10-29,POR,2,2,110,33,18,20,39,39.0,81.5,30.3,19,49,10,0
95,6438,2019-10-29,PHX,2,2,95,21,18,31,25,41.2,69.6,38.2,23,40,16,1
96,6438,2019-10-29,UTA,3,1,96,28,18,24,26,38.0,82.1,32.3,19,49,23,0
97,6439,2019-10-29,SAC,0,4,94,28,25,17,24,39.6,62.5,32.4,25,48,12,1
98,6439,2019-10-29,DEN,3,0,101,21,26,30,24,36.7,90.5,27.8,19,54,10,0
99,6440,2019-10-29,LAC,3,1,111,29,28,29,25,48.2,90.5,36.4,23,44,21,1
100,6440,2019-10-29,CHA,1,3,96,28,26,20,22,43.4,71.4,35.9,24,38,21,0
101,6441,2019-10-29,MIA,3,1,112,29,30,29,24,45.2,73.3,41.9,19,49,26,1
102,6441,2019-10-29,ATL,2,2,97,26,23,21,27,42.2,66.7,28.2,28,33,20,0
103,6442,2019-10-30,DEN,3,1,106,31,30,27,18,47.3,69.2,34.4,24,50,10,1
104,6442,2019-10-30,DAL,3,1,109,27,33,23,26,48.8,58.3,35.1,29,42,8,0
105,6443,2019-10-30,LAL,3,1,120,27,22,39,32,46.5,84.6,26.9,25,54,18,1
106,6443,2019-10-30,MEM,1,3,91,32,15,20,24,32.6,95.7,20.6,20,46,21,0
107,6444,2019-10-30,CLE,2,2,117,25,25,30,37,52.6,80.6,41.7,25,47,17,1
108,6444,2019-10-30,CHI,1,4,111,26,27,29,29,43.3,82.6,35.9,25,32,6,0
109,6445,2019-10-30,ORL,2,2,95,22,20,30,23,42.0,75.0,37.5,24,52,7,1
110,6445,2019-10-30,NYK,1,4,83,25,19,23,16,37.8,70.0,22.6,19,44,11,0
111,6446,2019-10-30,PHI,4,0,117,32,30,30,25,46.7,78.6,36.0,24,56,22,1
112,6446,2019-10-30,MIN,3,1,95,24,19,35,17,39.5,75.0,28.6,12,34,21,0
113,6447,2019-10-30,BOS,3,1,116,19,23,38,36,44.6,81.0,41.5,25,45,9,1
114,6447,2019-10-30,MIL,2,2,105,34,24,18,29,46.3,62.5,31.1,21,45,15,0
115,6448,2019-10-30,BKN,1,3,108,31,32,20,25,44.1,61.5,32.3,21,54,19,1
116,6448,2019-10-30,IND,1,3,118,31,29,30,28,46.9,85.0,42.3,25,41,9,0
117,6449,2019-10-30,TOR,4,1,125,37,27,37,24,59.3,83.3,48.1,30,34,14,1
118,6449,2019-10-30,DET,2,3,113,28,30,27,28,46.6,73.9,46.7,30,42,20,0
119,6450,2019-10-31,WAS,1,3,158,34,43,40,41,62.6,82.8,55.6,31,40,19,1
120,6450,2019-10-31,HOU,3,1,159,35,41,35,48,53.4,78.8,42.6,34,44,13,0
121,6451,2019-10-31,OKC,1,4,99,17,27,25,30,39.5,70.8,48.6,19,49,17,1
122,6451,2019-10-31,POR,3,2,102,24,25,19,34,39.3,78.4,14.8,15,55,18,0
123,6452,2019-10-31,UTA,4,1,110,33,19,38,20,55.0,68.8,45.8,23,36,14,1
124,6452,2019-10-31,LAC,3,2,96,23,28,20,25,47.6,83.3,34.8,19,36,19,0
125,6453,2019-10-31,SAC,0,5,111,33,33,18,27,45.8,75.0,30.4,26,39,15,1
126,6453,2019-10-31,CHA,2,3,118,30,31,32,25,54.8,71.4,50.0,30,46,20,0
127,6454,2019-10-31,GSW,1,3,110,14,32,21,43,43.9,83.3,28.6,24,43,18,1
128,6454,2019-10-31,PHX,3,2,121,43,29,23,26,45.8,85.7,41.7,33,45,16,0
129,6455,2019-10-31,ATL,2,3,97,26,20,29,22,40.9,69.2,20.6,20,50,16,1
