,GAME_ID,DATE,TEAM_ABBREVIATION,WINS,LOSSES,PTS,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,LOC
0,7197,2020-02-13,DET,19,38,112,20,35,26,27,43.5,93.3,40.0,28,47,20,0
1,7217,2020-02-22,IND,33,23,106,15,36,29,26,40.9,78.8,28.6,20,50,11,0
2,7237,2020-02-24,DET,19,40,104,24,27,34,19,43.0,95.0,31.4,18,44,11,0
3,7265,2020-02-28,LAL,45,12,116,24,30,40,22,51.1,66.7,33.3,24,44,16,0
4,7294,2020-03-03,MEM,30,31,127,24,28,32,43,50.0,67.7,43.8,30,60,14,0
5,7326,2020-03-07,MEM,31,32,96,28,21,16,31,46.4,69.2,30.0,29,47,19,0
6,7119,2020-02-02,GSW,11,39,131,31,30,44,26,53.3,89.5,51.4,39,44,11,0
7,7085,2020-01-28,SAC,17,29,133,24,26,28,41,50.0,79.4,45.0,27,44,15,0
8,7016,2020-01-18,MIL,38,6,117,30,27,36,24,50.6,62.5,45.9,30,54,20,0
9,6990,2020-01-15,NYK,11,30,102,23,17,36,26,35.3,73.1,29.7,26,49,11,0
10,6951,2020-01-09,MIL,33,6,107,19,28,34,26,40.2,87.5,22.0,22,47,9,0
11,6922,2020-01-05,NOP,12,24,117,25,27,24,41,43.7,75.8,35.6,28,44,15,0
12,6896,2020-01-02,PHX,13,21,107,17,24,38,28,48.8,73.9,26.1,32,47,14,0
13,6878,2019-12-30,SAC,12,21,115,32,25,24,34,52.9,70.6,38.2,32,35,12,0
14,6774,2019-12-15,CLE,6,20,108,20,31,28,29,45.6,73.3,42.9,27,45,18,0
15,6745,2019-12-12,HOU,16,8,116,35,29,24,28,49.4,100,40.5,18,36,13,0
16,6716,2019-12-07,LAC,16,7,91,15,28,19,29,35.1,89.5,25.0,18,48,21,0
17,6696,2019-12-05,MIL,19,3,127,22,37,33,35,48.9,92.6,40.0,25,55,14,0
18,6625,2019-11-24,BKN,8,8,103,29,23,30,21,40.3,79.4,36.8,18,35,11,0
19,6601,2019-11-21,BOS,11,3,104,21,21,33,22,39.4,71.4,26.7,26,53,17,0
20,6569,2020-01-23,OKC,26,19,120,24,36,32,28,60.5,82.6,47.4,22,36,15,0
21,6490,2019-11-06,ORL,2,5,94,26,27,26,15,39.0,87.1,13.6,15,53,14,0
