,GAME_ID,DATE,TEAM_ABBREVIATION,WINS,LOSSES,PTS,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,LOC
0,7197,2020-02-13,ORL,24,31,116,32,27,28,21,45.8,88.9,33.3,34,46,12,1
1,7217,2020-02-22,NYK,17,39,98,20,24,21,33,43.2,68.0,44.0,21,40,15,1
2,7237,2020-02-24,POR,26,32,107,40,13,27,27,48.8,63.2,43.3,20,41,10,1
3,7265,2020-02-28,GSW,12,47,86,24,28,17,17,42.5,90.0,28.1,27,37,26,1
4,7294,2020-03-03,ATL,19,44,88,23,26,19,20,32.3,93.8,25.7,20,43,17,1
5,7326,2020-03-07,DAL,39,25,121,33,28,34,26,47.4,76.5,38.3,30,48,10,1
6,7119,2020-02-02,CLE,13,37,112,32,27,19,34,43.2,100,36.4,26,46,15,1
7,7085,2020-01-28,MIN,15,32,129,37,31,29,22,48.9,60.6,51.1,29,45,20,1
8,7016,2020-01-18,BKN,18,23,97,22,20,29,26,33.3,94.1,30.6,23,47,17,1
9,6990,2020-01-15,MIL,36,6,128,29,36,43,20,48.9,82.1,41.7,27,59,14,1
10,6951,2020-01-09,GSW,9,30,98,19,20,33,26,37.9,85.0,39.5,29,52,18,1
11,6922,2020-01-05,SAC,13,23,115,26,22,32,35,44.7,75.0,57.1,20,51,20,1
12,6896,2020-01-02,LAL,27,7,117,43,31,27,16,47.8,70.6,25.0,25,45,12,1
13,6878,2019-12-30,DEN,23,9,120,31,31,26,32,51.9,90.3,27.6,23,37,12,1
14,6774,2019-12-15,MIL,24,3,125,26,43,33,23,54.1,73.1,37.8,26,41,12,1
15,6745,2019-12-12,CLE,5,19,110,29,28,25,28,51.7,62.5,40.6,29,36,15,1
16,6716,2019-12-07,MIL,20,3,119,30,22,35,32,46.8,81.0,38.9,29,53,15,1
17,6696,2019-12-05,DET,8,14,103,24,24,24,31,41.9,63.6,30.6,25,40,11,1
18,6625,2019-11-24,NYK,4,13,101,22,24,26,29,46.2,56.2,51.4,22,43,16,1
19,6601,2019-11-21,LAC,10,5,107,22,18,29,28,41.9,75.0,37.8,26,53,23,1
20,6569,2020-01-23,ORL,21,24,114,21,30,38,25,47.8,75.0,40.0,26,39,14,1
21,6490,2019-11-06,OKC,3,4,102,31,27,23,21,43.0,80.0,36.4,21,38,9,1
22,6434,2019-10-29,HOU,2,1,116,22,30,39,25,43.3,84.8,22.7,21,40,14,1
