,GAME_ID,DATE,TEAM_ABBREVIATION,WINS,LOSSES,PTS,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,LOC
0,6390,2019-10-23,NOP,0,1,122,30,31,25,31,42.2,85.0,42.2,30,53,19,0
1,6391,2019-10-23,LAL,0,1,102,25,29,31,17,43.5,71.4,39.4,20,41,14,0
2,6392,2019-10-23,CHI,0,1,125,28,27,40,30,46.7,81.8,30.0,25,49,10,0
3,6393,2019-10-23,DET,1,0,119,27,27,29,36,52.6,78.8,45.8,26,45,18,0
4,6394,2019-10-23,CLE,0,1,85,24,17,24,20,37.5,66.7,26.5,20,54,16,0
5,6395,2019-10-23,MIN,1,0,127,33,35,20,27,42.6,78.6,30.2,23,52,13,0
6,6396,2019-10-23,MEM,0,1,101,32,28,24,17,42.7,66.7,15.6,22,40,24,0
7,6397,2019-10-23,BOS,0,1,93,25,23,20,25,36.7,58.8,26.9,18,41,10,0
8,6398,2019-10-24,WAS,0,1,100,25,23,20,32,39.8,83.3,26.8,26,47,17,0
9,6399,2019-10-24,NYK,0,1,111,15,36,33,27,46.8,72.2,33.3,24,39,14,0
10,6400,2019-10-24,OKC,0,1,95,12,34,28,21,38.6,67.7,37.0,15,48,13,0
11,6401,2019-10-24,SAC,0,1,95,29,30,17,19,39.1,65.4,34.5,17,47,26,0
12,6402,2019-10-24,DEN,1,0,108,24,30,19,35,42.0,81.5,56.2,24,45,19,0
13,6403,2019-10-24,ATL,1,0,117,38,22,31,26,51.2,85.7,35.5,27,42,13,0
14,6404,2019-10-25,MIL,1,0,117,23,27,28,39,46.5,50.0,34.8,31,53,11,0
15,6405,2019-10-25,LAC,2,0,141,35,30,46,30,62.5,76.7,56.2,33,39,17,0
16,6406,2019-10-25,TOR,1,1,106,21,28,33,24,47.4,82.4,50.0,22,46,23,0
17,6407,2019-10-25,MIN,2,0,121,30,28,45,18,47.3,74.2,31.6,30,52,15,0
