,GAME_ID,DATE,TEAM_ABBREVIATION,WINS,LOSSES,PTS,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,LOC
0,6390,2019-10-23,TOR,1,0,130,27,29,32,29,40.8,84.2,35.0,23,57,16,1
1,6391,2019-10-23,LAC,1,0,112,22,40,23,27,51.9,70.8,35.5,24,45,14,1
2,6392,2019-10-23,CHA,1,0,126,37,26,33,30,51.1,81.2,52.3,28,41,19,1
3,6393,2019-10-23,IND,0,1,110,24,31,31,24,46.1,83.3,38.1,26,36,15,1
4,6394,2019-10-23,ORL,1,0,94,28,27,16,23,43.0,57.9,30.0,24,46,13,1
5,6395,2019-10-23,BKN,0,1,126,22,34,37,22,47.5,57.7,44.1,19,48,16,1
6,6396,2019-10-23,MIA,1,0,120,24,30,29,37,47.1,84.6,38.9,18,51,21,1
7,6397,2019-10-23,PHI,1,0,107,20,29,28,30,43.5,72.2,24.1,24,62,15,1
8,6398,2019-10-24,DAL,1,0,108,24,38,29,17,46.1,81.8,30.6,17,46,19,1
9,6399,2019-10-24,SAS,1,0,120,22,37,24,37,50.6,80.6,33.3,22,51,21,1
10,6400,2019-10-24,UTA,1,0,100,23,26,19,32,44.4,70.0,25.0,15,49,11,1
11,6401,2019-10-24,PHX,1,0,124,25,29,32,38,50.0,83.3,33.3,31,44,14,1
12,6402,2019-10-24,POR,0,1,100,27,23,24,26,41.4,91.3,25.0,13,48,20,1
13,6403,2019-10-24,DET,1,1,100,32,31,18,19,41.2,90.9,27.0,20,39,13,1
14,6404,2019-10-25,HOU,0,1,111,30,36,21,24,36.7,74.4,33.3,25,57,14,1
15,6405,2019-10-25,GSW,0,1,122,29,25,33,35,39.4,96.7,35.7,27,42,13,1
16,6406,2019-10-25,BOS,1,1,112,22,28,26,36,38.5,93.8,34.2,21,56,9,1
17,6407,2019-10-25,CHA,1,1,99,32,24,25,18,44.0,50.0,41.4,26,42,19,1
18,6408,2019-10-25,BKN,1,1,113,32,32,30,19,47.4,67.6,43.2,21,46,26,1
19,6409,2019-10-26,MEM,0,2,102,29,31,21,21,41.5,70.0,34.5,24,56,18,1
20,6410,2019-10-26,NOP,0,2,116,41,23,29,23,45.9,73.3,36.6,30,48,14,1
21,6411,2019-10-26,OKC,0,2,85,24,22,24,15,39.8,63.6,21.7,14,49,18,1
22,6412,2019-10-26,DEN,2,0,108,15,24,25,31,39.1,80.6,25.9,21,45,14,1
23,6413,2019-10-26,SAC,0,2,112,27,30,27,28,42.5,85.2,40.5,17,43,17,1
24,6414,2019-10-26,LAL,1,1,95,24,19,31,21,39.5,79.2,30.8,19,42,14,1
25,6415,2019-10-26,MIL,1,1,126,33,37,23,28,43.6,77.1,31.5,22,47,18,1
26,6416,2019-10-26,DET,1,2,111,29,28,26,28,53.9,58.3,42.1,20,35,23,1
27,6417,2019-10-26,ATL,2,0,103,23,29,25,26,51.2,53.3,30.0,22,52,18,1
28,6418,2019-10-26,NYK,0,3,95,24,27,25,19,38.8,76.5,25.9,15,55,25,1
29,6419,2019-10-27,CLE,1,1,110,26,39,25,20,50.0,65.5,35.5,23,44,18,1
30,6420,2019-10-27,CHI,1,2,84,23,17,22,22,29.9,68.0,25.7,18,45,15,1
31,6421,2019-10-27,HOU,1,1,126,29,32,36,29,45.7,90.0,28.9,27,45,19,1
32,6422,2019-10-27,SAS,2,0,124,30,30,32,32,46.3,82.4,35.7,29,53,9,1
33,6423,2019-10-27,UTA,2,1,113,35,31,27,20,56.4,58.3,48.6,28,43,21,1
34,6424,2019-10-27,PHX,2,1,130,26,29,36,39,50.0,79.4,39.5,32,49,16,1
35,6425,2019-10-27,OKC,1,2,120,35,35,35,15,56.4,77.3,46.9,24,50,23,1
36,6426,2019-10-27,MEM,1,2,134,35,24,33,28,48.5,80.0,42.4,33,49,12,1
37,6427,2019-10-27,DAL,2,1,119,40,31,24,24,39.4,78.0,26.0,27,46,11,1
38,6428,2019-10-27,MIN,3,0,116,36,19,22,39,42.9,75.8,28.9,24,46,16,1
39,6429,2019-10-28,LAL,2,1,120,30,33,24,33,52.7,78.6,35.5,30,47,13,1
40,6430,2019-10-28,DET,2,2,96,33,26,19,18,45.7,90.0,54.2,21,48,20,1
41,6431,2019-10-28,NYK,1,3,105,15,27,30,33,41.8,62.5,31.0,19,63,17,1
42,6432,2019-10-28,ATL,2,1,103,40,25,18,20,42.9,68.8,33.3,23,45,21,1
43,6433,2019-10-28,TOR,3,1,104,31,20,27,26,38.8,93.3,25.6,19,52,16,1
44,6434,2019-10-29,HOU,2,1,116,22,30,39,25,43.3,84.8,22.7,21,40,14,1
45,6435,2019-10-29,MIL,2,1,129,30,29,32,38,52.2,66.7,44.7,29,50,12,1
46,6436,2019-10-29,NOP,0,4,123,23,32,24,44,46.6,54.5,31.9,36,41,15,1
47,6437,2019-10-29,SAS,3,0,113,19,26,37,31,48.2,75.0,31.8,25,50,18,1
48,6438,2019-10-29,PHX,2,2,95,21,18,31,25,41.2,69.6,38.2,23,40,16,1
49,6439,2019-10-29,SAC,0,4,94,28,25,17,24,39.6,62.5,32.4,25,48,12,1
50,6440,2019-10-29,LAC,3,1,111,29,28,29,25,48.2,90.5,36.4,23,44,21,1
51,6441,2019-10-29,MIA,3,1,112,29,30,29,24,45.2,73.3,41.9,19,49,26,1
52,6442,2019-10-30,DEN,3,1,106,31,30,27,18,47.3,69.2,34.4,24,50,10,1
53,6443,2019-10-30,LAL,3,1,120,27,22,39,32,46.5,84.6,26.9,25,54,18,1
54,6444,2019-10-30,CLE,2,2,117,25,25,30,37,52.6,80.6,41.7,25,47,17,1
55,6445,2019-10-30,ORL,2,2,95,22,20,30,23,42.0,75.0,37.5,24,52,7,1
56,6446,2019-10-30,PHI,4,0,117,32,30,30,25,46.7,78.6,36.0,24,56,22,1
57,6447,2019-10-30,BOS,3,1,116,19,23,38,36,44.6,81.0,41.5,25,45,9,1
58,6448,2019-10-30,BKN,1,3,108,31,32,20,25,44.1,61.5,32.3,21,54,19,1
