,GAME_ID,DATE,TEAM_ABBREVIATION,WINS,LOSSES,PTS,PTS_QTR1,PTS_QTR2,PTS_QTR3,PTS_QTR4,FG_PCT,FT_PCT,FG3_PCT,AST,REB,TOV,LOC,MEAN_PTS,MEAN_PTS_QTR1,MEAN_PTS_QTR2,MEAN_PTS_QTR3,MEAN_PTS_QTR4,MEAN_FG_PCT,MEAN_FT_PCT,MEAN_FG3_PCT,MEAN_AST,MEAN_REB,MEAN_TOV,MEAN_PTS_H,MEAN_FG_PCT_H,MEAN_FT_PCT_H,MEAN_FG3_PCT_H,MEAN_AST_H,MEAN_REB_H,MEAN_TOV_H,OPP_TEAM_ABBREVIATION,OPP_TEAM_WINS,OPP_TEAM_LOSSES,OPP_PTS,OPP_TEAM_MEAN_PTS,OPP_TEAM_MEAN_PTS_QTR1,OPP_TEAM_MEAN_PTS_QTR2,OPP_TEAM_MEAN_PTS_QTR3,OPP_TEAM_MEAN_PTS_QTR4,OPP_TEAM_MEAN_FG_PCT,OPP_TEAM_MEAN_FT_PCT,OPP_TEAM_MEAN_FG3_PCT,OPP_TEAM_MEAN_AST,OPP_TEAM_MEAN_REB,OPP_TEAM_MEAN_TOV,MEAN_PTS_A,MEAN_FG_PCT_A,MEAN_FT_PCT_A,MEAN_FG3_PCT_A,MEAN_AST_A,MEAN_REB_A,MEAN_TOV_A,W/L 1/0,LAST_2_MH,LAST_3_MH,LAST_5_MH,LAST_2_MA,LAST_3_MA,LAST_5_MA
17,6407,2019-10-25,CHA,1,1,99,32,24,25,18,44.0,50.0,41.4,26,42,19,1,126.0,37.0,26.0,33.0,30.0,51.1,81.2,52.3,28.0,41.0,19.0,126.0,51.1,81.2,52.3,28.0,41.0,19.0,MIN,2,0,121,127.0,33.0,35.0,20.0,27.0,42.6,78.6,30.2,23.0,52.0,13.0,127.0,42.6,78.6,30.2,23.0,52.0,13.0,0,,,,,,
18,6408,2019-10-25,BKN,1,1,113,32,32,30,19,47.4,67.6,43.2,21,46,26,1,126.0,22.0,34.0,37.0,22.0,47.5,57.7,44.1,19.0,48.0,16.0,126.0,47.5,57.7,44.1,19.0,48.0,16.0,NYK,0,2,109,111.0,15.0,36.0,33.0,27.0,46.8,72.2,33.3,24.0,39.0,14.0,111.0,46.8,72.2,33.3,24.0,39.0,14.0,1,,,,,,
31,6421,2019-10-27,HOU,1,1,126,29,32,36,29,45.7,90.0,28.9,27,45,19,1,111.0,30.0,36.0,21.0,24.0,36.7,74.4,33.3,25.0,57.0,14.0,111.0,36.7,74.4,33.3,25.0,57.0,14.0,NOP,0,3,123,119.0,35.5,27.0,27.0,27.0,44.05,79.15,39.400000000000006,30.0,50.5,16.5,122.0,42.2,85.0,42.2,30.0,53.0,19.0,1,,,,,,
32,6422,2019-10-27,SAS,2,0,124,30,30,32,32,46.3,82.4,35.7,29,53,9,1,120.0,22.0,37.0,24.0,37.0,50.6,80.6,33.3,22.0,51.0,21.0,120.0,50.6,80.6,33.3,22.0,51.0,21.0,WAS,1,2,122,98.5,26.5,23.5,23.0,25.5,40.0,81.65,26.8,23.5,47.0,16.0,98.5,40.0,81.65,26.8,23.5,47.0,16.0,1,,,,,,
33,6423,2019-10-27,UTA,2,1,113,35,31,27,20,56.4,58.3,48.6,28,43,21,1,93.0,20.0,23.0,18.5,31.5,42.9,82.6,28.5,17.0,44.5,16.5,100.0,44.4,70.0,25.0,15.0,49.0,11.0,SAC,0,3,81,103.5,28.0,30.0,22.0,23.5,40.8,75.30000000000001,37.5,17.0,45.0,21.5,95.0,39.1,65.4,34.5,17.0,47.0,26.0,1,,,,,,
34,6424,2019-10-27,PHX,2,1,130,26,29,36,39,50.0,79.4,39.5,32,49,16,1,115.5,23.0,26.5,24.5,35.5,44.75,90.1,30.95,28.0,49.0,15.5,124.0,50.0,83.3,33.3,31.0,44.0,14.0,LAC,2,1,122,126.5,28.5,35.0,34.5,28.5,57.2,73.75,45.85,28.5,42.0,15.5,141.0,62.5,76.7,56.2,33.0,39.0,17.0,1,,,,,,
37,6427,2019-10-27,DAL,2,1,119,40,31,24,24,39.4,78.0,26.0,27,46,11,1,115.5,25.5,41.5,26.0,22.5,47.25,77.44999999999999,32.8,20.0,47.5,15.0,108.0,46.1,81.8,30.6,17.0,46.0,19.0,POR,2,1,121,111.0,26.0,27.5,30.5,27.0,47.75,88.85,30.85,18.0,44.0,18.0,122.0,54.1,86.4,36.7,23.0,40.0,16.0,0,,,,,,
40,6430,2019-10-28,DET,2,2,96,33,26,19,18,45.7,90.0,54.2,21,48,20,1,110.0,29.333333333333332,28.666666666666668,24.333333333333332,27.666666666666668,49.23333333333334,76.0,38.300000000000004,22.0,39.666666666666664,18.0,105.5,47.55,74.6,34.55,20.0,37.0,18.0,IND,0,3,94,104.5,26.0,25.5,28.5,24.5,45.45,83.94999999999999,36.900000000000006,24.5,36.0,16.0,99.0,44.8,84.6,35.7,23.0,36.0,17.0,1,,,,,,
41,6431,2019-10-28,NYK,1,3,105,15,27,30,33,41.8,62.5,31.0,19,63,17,1,105.0,20.666666666666668,30.333333333333332,30.0,24.0,44.166666666666664,68.60000000000001,42.4,18.666666666666668,44.333333333333336,21.666666666666668,95.0,38.8,76.5,25.9,15.0,55.0,25.0,CHI,1,3,98,106.33333333333333,25.333333333333332,22.0,31.333333333333332,27.666666666666668,39.86666666666667,74.93333333333334,28.099999999999998,20.333333333333332,46.333333333333336,12.666666666666666,117.5,44.85,78.4,29.3,21.5,47.0,11.5,1,,,,,,
42,6432,2019-10-28,ATL,2,1,103,40,25,18,20,42.9,68.8,33.3,23,45,21,1,110.0,30.5,25.5,28.0,26.0,51.2,69.5,32.75,24.5,47.0,15.5,103.0,51.2,53.3,30.0,22.0,52.0,18.0,PHI,3,0,105,112.0,24.0,27.5,28.5,32.0,45.9,69.45,31.150000000000002,27.0,50.0,18.5,117.0,48.3,66.7,38.2,30.0,38.0,22.0,0,,,,,,
43,6433,2019-10-28,TOR,3,1,104,31,20,27,26,38.8,93.3,25.6,19,52,16,1,114.66666666666667,24.0,27.0,33.666666666666664,25.666666666666668,44.833333333333336,87.0,40.233333333333334,24.0,54.0,20.333333333333332,130.0,40.8,84.2,35.0,23.0,57.0,16.0,ORL,1,2,95,96.5,27.0,25.5,20.5,23.5,39.2,75.1,23.05,19.5,46.0,11.5,99.0,35.4,92.3,16.1,15.0,46.0,10.0,1,,,,,,
44,6435,2019-10-29,MIL,2,1,129,30,29,32,38,52.2,66.7,44.7,29,50,12,1,121.5,28.0,32.0,25.5,33.5,45.05,63.55,33.15,26.5,50.0,14.5,126.0,43.6,77.1,31.5,22.0,47.0,18.0,CLE,1,2,112,97.5,25.0,28.0,24.5,20.0,43.75,66.1,31.0,21.5,49.0,17.0,85.0,37.5,66.7,26.5,20.0,54.0,16.0,1,,,,,,
45,6436,2019-10-29,NOP,0,4,123,23,32,24,44,46.6,54.5,31.9,36,41,15,1,120.33333333333333,31.666666666666668,30.333333333333332,31.0,25.666666666666668,44.699999999999996,79.83333333333333,38.26666666666667,29.0,47.666666666666664,16.666666666666668,116.0,45.9,73.3,36.6,30.0,48.0,14.0,GSW,1,2,134,107.0,24.5,21.0,32.0,29.5,36.0,91.9,25.450000000000003,22.0,40.5,13.5,92.0,32.6,87.1,15.2,17.0,39.0,14.0,0,,,,,,
46,6437,2019-10-29,SAS,3,0,113,19,26,37,31,48.2,75.0,31.8,25,50,18,1,122.0,26.0,33.5,28.0,34.5,48.45,81.5,34.5,25.5,52.0,15.0,122.0,48.45,81.5,34.5,25.5,52.0,15.0,POR,2,2,110,114.33333333333333,25.666666666666668,29.666666666666668,32.333333333333336,26.666666666666668,49.06666666666666,87.43333333333332,34.199999999999996,16.333333333333332,45.333333333333336,17.333333333333332,121.5,52.900000000000006,85.5,38.8,18.0,44.0,16.0,1,,,,,,
47,6438,2019-10-29,PHX,2,2,95,21,18,31,25,41.2,69.6,38.2,23,40,16,1,120.33333333333333,24.0,27.333333333333332,28.333333333333332,36.666666666666664,46.5,86.53333333333335,33.800000000000004,29.333333333333332,49.0,15.666666666666666,127.0,50.0,81.35,36.4,31.5,46.5,15.0,UTA,3,1,96,99.66666666666667,25.0,25.666666666666668,21.333333333333332,27.666666666666668,47.4,74.5,35.199999999999996,20.666666666666668,44.0,18.0,86.0,41.4,95.2,32.0,19.0,40.0,22.0,0,,,,,,
48,6439,2019-10-29,SAC,0,4,94,28,25,17,24,39.6,62.5,32.4,25,48,12,1,96.0,27.0,25.333333333333332,20.333333333333332,23.333333333333332,39.53333333333333,77.66666666666667,33.96666666666667,16.666666666666668,40.333333333333336,20.0,112.0,42.5,85.2,40.5,17.0,43.0,17.0,DEN,3,0,101,108.0,19.5,27.0,22.0,33.0,40.55,81.05,41.05,22.5,45.0,16.5,108.0,42.0,81.5,56.2,24.0,45.0,19.0,0,,,,,,
49,6440,2019-10-29,LAC,3,1,111,29,28,29,25,48.2,90.5,36.4,23,44,21,1,125.0,26.333333333333332,34.333333333333336,33.0,31.333333333333332,53.46666666666667,75.66666666666667,42.03333333333333,25.666666666666668,41.666666666666664,14.333333333333334,112.0,51.9,70.8,35.5,24.0,45.0,14.0,CHA,1,3,96,108.66666666666667,32.333333333333336,28.0,25.333333333333332,23.0,44.53333333333333,74.16666666666667,40.76666666666666,24.333333333333332,42.666666666666664,17.333333333333332,101.0,38.5,91.3,28.6,19.0,45.0,14.0,1,,,,,,
50,6441,2019-10-29,MIA,3,1,112,29,30,29,24,45.2,73.3,41.9,19,49,26,1,120.0,25.333333333333332,29.333333333333332,28.333333333333332,33.666666666666664,47.333333333333336,71.73333333333333,39.0,25.333333333333332,48.666666666666664,19.333333333333332,120.0,47.1,84.6,38.9,18.0,51.0,21.0,ATL,2,2,97,107.66666666666667,33.666666666666664,25.333333333333332,24.666666666666668,24.0,48.43333333333334,69.26666666666667,32.93333333333333,24.0,46.333333333333336,17.333333333333332,117.0,51.2,85.7,35.5,27.0,42.0,13.0,1,,,,,,
51,6442,2019-10-30,DEN,3,1,106,31,30,27,18,47.3,69.2,34.4,24,50,10,1,105.66666666666667,20.0,26.666666666666668,24.666666666666668,30.0,39.266666666666666,84.2,36.63333333333333,21.333333333333332,48.0,14.333333333333334,108.0,39.1,80.6,25.9,21.0,45.0,14.0,DAL,3,1,109,116.66666666666667,30.333333333333332,38.0,25.333333333333332,23.0,44.63333333333333,77.63333333333333,30.53333333333333,22.333333333333332,47.0,13.666666666666666,123.0,48.4,73.1,35.0,23.0,49.0,11.0,0,,,,,,
52,6443,2019-10-30,LAL,3,1,120,27,22,39,32,46.5,84.6,26.9,25,54,18,1,105.66666666666667,26.333333333333332,27.0,28.666666666666668,23.666666666666668,45.23333333333333,76.4,35.233333333333334,23.0,43.333333333333336,13.666666666666666,107.5,46.1,78.9,33.15,24.5,44.5,13.5,MEM,1,3,91,112.33333333333333,32.0,27.666666666666668,26.0,22.0,44.23333333333333,72.23333333333333,30.833333333333332,26.333333333333332,48.333333333333336,18.0,101.0,42.7,66.7,15.6,22.0,40.0,24.0,1,,,,,,
53,6444,2019-10-30,CLE,2,2,117,25,25,30,37,52.6,80.6,41.7,25,47,17,1,102.33333333333333,27.0,25.666666666666668,25.666666666666668,24.0,44.166666666666664,71.83333333333333,30.933333333333334,20.666666666666668,48.666666666666664,15.0,110.0,50.0,65.5,35.5,23.0,44.0,18.0,CHI,1,4,111,104.25,27.25,21.25,30.5,25.25,40.5,76.45,27.5,20.0,44.25,11.75,111.0,44.03333333333333,79.26666666666667,28.099999999999998,20.666666666666668,44.0,10.666666666666666,1,,,,,,
54,6445,2019-10-30,ORL,2,2,95,22,20,30,23,42.0,75.0,37.5,24,52,7,1,96.0,25.333333333333332,25.0,20.666666666666668,25.0,38.86666666666667,77.83333333333333,25.633333333333336,20.333333333333332,46.333333333333336,13.0,94.0,43.0,57.9,30.0,24.0,46.0,13.0,NYK,1,4,83,105.0,19.25,29.5,30.0,26.25,43.575,67.075,39.55,18.75,49.0,20.5,110.0,46.849999999999994,64.65,50.65,20.5,39.0,20.0,1,,,,,,
55,6446,2019-10-30,PHI,4,0,117,32,30,30,25,46.7,78.6,36.0,24,56,22,1,109.66666666666667,26.333333333333332,29.0,25.333333333333332,29.0,44.6,72.96666666666667,29.700000000000003,25.333333333333332,49.666666666666664,19.333333333333332,107.0,43.5,72.2,24.1,24.0,62.0,15.0,MIN,3,1,95,121.33333333333333,33.0,27.333333333333332,29.0,28.0,44.26666666666667,76.2,30.23333333333333,25.666666666666668,50.0,14.666666666666666,124.0,44.95,76.4,30.9,26.5,52.0,14.0,1,,,,,,
56,6447,2019-10-30,BOS,3,1,116,19,23,38,36,44.6,81.0,41.5,25,45,9,1,107.66666666666667,23.0,25.0,27.333333333333332,32.333333333333336,40.13333333333333,72.7,32.56666666666667,21.0,47.333333333333336,10.333333333333334,112.0,38.5,93.8,34.2,21.0,56.0,9.0,MIL,2,2,105,124.0,28.666666666666668,31.0,27.666666666666668,35.0,47.43333333333334,64.60000000000001,37.0,27.333333333333332,50.0,13.666666666666666,117.0,46.5,50.0,34.8,31.0,53.0,11.0,1,,,,,,
57,6448,2019-10-30,BKN,1,3,108,31,32,20,25,44.1,61.5,32.3,21,54,19,1,124.0,27.666666666666668,31.333333333333332,35.666666666666664,21.333333333333332,46.166666666666664,68.8,40.2,22.666666666666668,49.0,19.666666666666668,119.5,47.45,62.65,43.650000000000006,20.0,47.0,21.0,IND,1,3,118,101.0,25.666666666666668,26.333333333333332,25.0,24.0,44.13333333333333,81.6,34.13333333333333,24.333333333333332,39.0,13.0,96.5,43.15,80.75,32.150000000000006,23.5,40.5,12.0,0,,,,,,
58,6449,2019-10-30,TOR,4,1,125,37,27,37,24,59.3,83.3,48.1,30,34,14,1,112.0,25.75,25.25,32.0,25.75,43.325,88.575,36.575,22.75,53.5,19.25,117.0,39.8,88.75,30.3,21.0,54.5,16.0,DET,2,3,113,106.5,30.25,28.0,23.0,25.25,48.35000000000001,79.5,42.275000000000006,21.75,41.75,18.5,119.0,52.6,78.8,45.8,26.0,45.0,18.0,1,,,,,,
60,6451,2019-10-31,OKC,1,4,99,17,27,25,30,39.5,70.8,48.6,19,49,17,1,100.0,23.666666666666668,30.333333333333332,29.0,17.0,44.93333333333334,69.53333333333335,35.199999999999996,17.666666666666668,49.0,18.0,102.5,48.099999999999994,70.45,34.3,19.0,49.5,20.5,POR,3,2,102,113.25,27.5,26.75,29.25,29.75,46.55,85.94999999999999,33.225,17.0,46.25,15.5,117.66666666666667,48.26666666666667,84.16666666666667,35.96666666666666,18.333333333333332,45.666666666666664,14.0,0,,,,1.0,,
61,6452,2019-10-31,UTA,4,1,110,33,19,38,20,55.0,68.8,45.8,23,36,14,1,98.75,25.75,23.75,22.0,27.25,45.05,76.4,34.474999999999994,20.25,45.25,19.25,106.5,50.4,64.15,36.8,21.5,46.0,16.0,LAC,3,2,96,121.5,27.0,32.75,32.0,29.75,52.150000000000006,79.375,40.625,25.0,42.25,16.0,131.5,54.25,78.1,45.3,26.5,40.0,14.5,1,,,,,,
62,6453,2019-10-31,SAC,0,5,111,33,33,18,27,45.8,75.0,30.4,26,39,15,1,95.5,27.25,25.25,19.5,23.5,39.55,73.875,33.575,18.75,42.25,18.0,103.0,41.05,73.85,36.45,21.0,45.5,14.5,CHA,2,3,118,105.5,31.25,27.5,24.0,22.75,44.25,73.475,39.55,24.25,41.5,18.25,98.5,40.95,81.35,32.25,21.5,41.5,17.5,0,,,,,,
63,6454,2019-10-31,GSW,1,3,110,14,32,21,43,43.9,83.3,28.6,24,43,18,1,116.0,25.333333333333332,29.0,31.666666666666668,30.0,40.333333333333336,86.26666666666667,30.3,27.0,47.333333333333336,15.0,122.0,39.4,96.7,35.7,27.0,42.0,13.0,PHX,3,2,121,114.0,23.25,25.0,29.0,33.75,45.175,82.30000000000001,34.900000000000006,27.75,46.75,15.75,107.0,39.5,96.9,28.6,25.0,54.0,17.0,0,,,,,,
